,Status
0,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'success']"
1,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'success']"
2,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'success']"
3,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'success']"
4,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'success']"
5,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'success']"
6,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
7,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
8,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
9,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'collision']"
10,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'success']"
11,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'success']"
12,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'success']"
13,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'success']"
14,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'success']"
15,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
16,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
17,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
18,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'collision']"
19,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'collision']"
20,"[{'ADS_B': <class 'AlgorithmsSensors.passive.ADS_B.ADS_B'>}, 'success']"
21,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'success']"
22,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'collision']"
23,"[{'Vision': <class 'AlgorithmsSensors.cam.Vision_MOG.VisionMOG'>}, 'collision']"
24,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
25,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
26,"[{'Vision:': <class 'AlgorithmsSensors.cam.Vision_RGB_Depth.VisionRDSVMTracker'>}, 'collision']"
